key,year,bin,id,dom_ec,rank,power,group
259,2022,25,OPO,0.0491662606211401,7,0.95083373937886,1
260,2022,25,BOB,0.0617166707952808,8,0.938283329204719,1
261,2022,25,OPP,0.152735084218158,9,0.847264915781842,1
262,2022,25,GGP,0.242431385355592,10,0.757568614644408,1
263,2022,25,BBB,0.313748551939441,11,0.686251448060559,1
264,2022,26,GPO,0.0415432912302082,1,0.958456708769792,1
265,2022,26,PBO,0.0425080576530278,2,0.957491942346972,1
266,2022,26,PPO,0.0478048776290627,3,0.952195122370937,1
267,2022,26,POP,0.0523706773734363,4,0.947629322626564,1
268,2022,26,OPO,0.0567759709135803,5,0.94322402908642,1
269,2022,26,OOO,0.0592386892198408,6,0.940761310780159,1
270,2022,26,PGG,0.0690830358170288,7,0.930916964182971,1
271,2022,26,BOB,0.131159306683147,8,0.868840693316853,1
272,2022,26,GGP,0.138016474986246,9,0.861983525013754,1
273,2022,26,OPP,0.178638013715152,10,0.821361986284848,1
274,2022,26,BBB,0.18286160477927,11,0.81713839522073,1
275,2022,1,BBO,0.0212315558262925,1,0.978768444173707,2
276,2022,1,GGG,0.0222113936490076,2,0.977788606350992,2
277,2022,1,GPG,0.0447339043951075,3,0.955266095604893,2
278,2022,1,GOP,0.0504864751261769,4,0.949513524873823,2
279,2022,1,PBP,0.0561911888036476,5,0.943808811196352,2
280,2022,1,GOO,0.0602670675228767,6,0.939732932477123,2
281,2022,1,PPP,0.0607088969289182,7,0.939291103071082,2
282,2022,1,OBB,0.0934347597606586,8,0.906565240239341,2
283,2022,1,OOP,0.169286196565988,9,0.830713803434012,2
284,2022,1,POO,0.198108540061069,10,0.801891459938931,2
285,2022,1,OGO,0.223340021360257,11,0.776659978639743,2
286,2022,2,BBO,0.0305187636376131,1,0.969481236362387,2
287,2022,2,GGG,0.0308824526179087,2,0.969117547382091,2
288,2022,2,GPG,0.0457562652354972,3,0.954243734764503,2
289,2022,2,GOP,0.0665832931395156,4,0.933416706860484,2
290,2022,2,PPP,0.0740082985772941,5,0.925991701422706,2
291,2022,2,GOO,0.0771538546433453,6,0.922846145356655,2
292,2022,2,PBP,0.0866358131064244,7,0.913364186893576,2
293,2022,2,OBB,0.0896787836506735,8,0.910321216349327,2
294,2022,2,OGO,0.127311092357658,9,0.872688907642342,2
295,2022,2,POO,0.131789032318135,10,0.868210967681865,2
296,2022,2,OOP,0.239682350715935,11,0.760317649284065,2
297,2022,3,OBB,0.0520025788634185,2,0.947997421136581,2
298,2022,3,GOP,0.0707896773344985,3,0.929210322665501,2
299,2022,3,OGO,0.0718386022787487,4,0.928161397721251,2
300,2022,3,POO,0.0732476965117726,5,0.926752303488227,2
301,2022,3,PBP,0.0921201806344077,6,0.907879819365592,2
302,2022,3,GOO,0.0939151829622705,7,0.906084817037729,2
303,2022,3,GGG,0.105947009983554,8,0.894052990016446,2
304,2022,3,GPG,0.117763636526551,9,0.882236363473449,2
305,2022,3,PPP,0.13946228938146,10,0.86053771061854,2
306,2022,3,OOP,0.182913145523319,11,0.817086854476681,2
307,2022,4,GPG,0.0353301322602876,2,0.964669867739712,2
308,2022,4,GOO,0.0365394601599637,3,0.963460539840036,2
309,2022,4,GOP,0.0473977210393207,4,0.952602278960679,2
310,2022,4,GGG,0.0611699882901783,5,0.938830011709822,2
311,2022,4,OBB,0.0668866321505154,6,0.933113367849485,2
312,2022,4,PPP,0.0704958747171657,7,0.929504125282834,2
313,2022,4,POO,0.0769439146333506,8,0.923056085366649,2
314,2022,4,OGO,0.0792041411016683,9,0.920795858898332,2
315,2022,4,PBP,0.218294016903912,10,0.781705983096088,2
316,2022,4,OOP,0.307738118743637,11,0.692261881256363,2
317,2022,5,GPG,0.00777076771892484,1,0.992229232281075,2
318,2022,5,GOO,0.00808814624411078,2,0.991911853755889,2
319,2022,5,GGG,0.0102158185103104,3,0.98978418148969,2
320,2022,5,GOP,0.0124129483667389,4,0.987587051633261,2
321,2022,5,OBB,0.0164408202614821,5,0.983559179738518,2
322,2022,5,POO,0.0208728996389403,6,0.97912710036106,2
323,2022,5,OGO,0.0302025952137244,7,0.969797404786276,2
324,2022,5,PPP,0.0324020028206695,8,0.96759799717933,2
325,2022,5,BBO,0.216511973127612,9,0.783488026872388,2
326,2022,5,OOP,0.256821635883444,10,0.743178364116556,2
327,2022,5,PBP,0.388260392214042,11,0.611739607785958,2
328,2022,6,GGG,0.013916838769931,1,0.986083161230069,2
